Video ID,Title,Published Date,Views,Likes,Duration
5uxAMbibaoY,Yakeen 2.0 2025 Physical Chemistry 1st Class FREE🔥 NEET 2025 Dropper,2024-05-20,645121,28135,01:54:00
j0BtOLoSJvs,Yakeen 2.0 2025 Zoology 1st Class FREE🔥 NEET 2025 Dropper,2024-05-20,608516,25844,01:51:51
OjoTOWmtdRw,Yakeen 2.0 2025 Physics 1st Class FREE🔥 NEET 2025 Dropper,2024-05-20,1280879,50294,02:03:30
76QYazyRm8Q,Most Powerful NEET Dropper Batch : YAKEEN 2.0 2025 is here!! 🔥 ORIENTATION SESSION 💪🏻,2024-05-17,525323,21758,00:55:26
eIF0_SqmUV8,Yakeen 2.O - The Highest Selection Batch for NEET 2025 || GRAND LAUNCH 🔥,2024-05-09,1254929,45933,01:25:50
5mPAHaagnsw,Yakeen 2.O - Official Trailer | NEET 2025 Dropper | 9th May,2024-05-07,853332,17720,00:01:00
STUAIWx_m7Q,NEET Paper Leaked Reality! 😨 NEET 2024 Answer Key ​🚨 Live Discussion #NEET2024,2024-05-05,3293866,53931,04:45:53
O_41nVUK3Dk,Why it's always you beta ? 🥺 | NEET 2024 Failure  | Alakh Pandey,2024-05-05,956855,57366,00:06:51
BdTrPwV-iLA,Complete Class 12th BIOLOGY in 1 Shot | Concepts + Most Important Questions | NEET 2024,2024-05-03,1498514,33541,11:02:10
acZpClySY8M,Complete Class 11th BIOLOGY in 1 Shot | Concepts + Most Important Questions | NEET 2024,2024-05-02,2588257,56661,11:53:42
vgSSHRncQM0,Complete CLASS 12th PHYSICS in 1 Shot (Part -2)| Concepts + Most Important Questions | NEET 2024,2024-05-01,218831,5915,03:28:26
WTETnc0l45Y,Complete CLASS 12th PHYSICS in 1 Shot | Concepts + Most Important Questions | NEET 2024,2024-05-01,846444,20751,11:54:56
Pigg0VlLNoU,Complete INORGANIC CHEMISTRY in 1 Shot (Part -2)| Concepts + Most Important Questions | NEET 2024,2024-04-30,239753,7679,02:34:00
DiszNQn_NSo,Complete INORGANIC CHEMISTRY in 1 Shot | Concepts + Most Important Questions | NEET 2024,2024-04-30,1285382,31126,11:31:25
Feap2zbEz_k,Complete ORGANIC CHEMISTRY in 1 Shot | Concepts + Most Important Questions | NEET 2024,2024-04-29,3725200,82502,11:54:56
Z1g5q1KRpfE,Complete Class 11th PHYSICS in 1 Shot (PART-2) | Concepts + Most Important Questions | NEET 2024,2024-04-29,1693540,47537,08:10:55
2PW7N3wp9HQ,Complete CLASS 11th PHYSICS in 1 Shot | Concepts + Most Important Questions | NEET 2024,2024-04-28,5085696,129742,11:47:46
Na9KxXlei-s,Complete PHYSICAL CHEMISTRY in 1 Shot | Concepts + Most Important Questions | NEET 2024,2024-04-27,2461254,63505,11:22:45
IXV43Qsd7CA,Class 12th 2025 - NEW BATCHES !! Lakshya JEE & Lakshya NEET || ₹4800 for Complete Course 🔥,2024-03-23,633812,22527,01:18:25
AqPrCAWzAoo,PhysicsWallah Scholarship Test 2024 || PWSAT,2024-03-16,547698,21200,01:29:22
YRVQg7C4ybI,URGENT LIVE by PW FACULTIES !!,2024-03-10,398475,16534,00:14:41
CO7c3MBf-ns,Alakh Sir BIG ANNOUNCEMENT after Success of Vishwas Diwas !! Launching Batch ♾️ 🔥,2024-03-03,764328,30802,00:40:59
WQZ_SwwQn_I,World's Biggest Educational Festival - The VISHWAS DIWAS !! 28 Feb 2024 🔥,2024-02-28,4317958,188198,02:23:57
zTObRVHp_1A,AB KYA FREE KAR DIYA ??,2024-02-06,866612,39096,00:42:59
UkAZNfqGx_8,[NO CLICKBAIT] Saare Batches FREE Kar Diye 🙏🇮🇳,2024-01-26,2644001,119405,00:49:13
4opjbsbErJ4,PW Vidyapeeth Legacy 🙌🔥,2024-01-16,676872,43378,00:01:00
-6SXjoHOKso,Mission2024 - THE BIGGEST EVENT of the Year !! 🙏🔥 PhysicsWallah,2024-01-14,3104977,113546,01:56:21
Vi3meXQ1JQ4,Diamond Button 🙏🥹,2024-01-12,785902,62006,00:00:48
wi9fz5VP4pI,HAPPY NEW YEAR !! My Message for Every INDIAN Student 🇮🇳,2024-01-01,408373,39810,00:02:58
UeCfHJEh_7A,REWIND 2023 ⏪ - Our Achievements !! HAPPY NEW YEAR 2024 || Ft. PhysicsWallah,2023-12-31,293356,19152,00:04:10
xiOnqqrWq3w,100 Days NEET Challenge!! HOW TO CRACK NEET IN 4 MONTHS? Free Crash Course @prachand-neet,2023-12-02,1620124,58742,00:57:30
Rllp_QSrNwE,50 Days JEE CHALLENGE !! Complete JEE Crash Course @FREE | MANZIL Batch on @PW-JEEWallah,2023-11-21,876031,35132,00:56:00
MqmjaguI9-o,Grand DIWALI Celebration [LIVE] 🎊 Gifts for All Students !! 40% Discount on PW Batches !!,2023-11-08,952174,21668,01:12:56
WnG6JKnorGU,"The Real ""Sangharsh"": Prayagraj Ki Ek Ansuni Kahani!! JEE/NEET Ke Sapne Se Pehle ka Struggle",2023-10-02,560785,32397,00:25:44
4JrUS_mKHOA,PRESS CONFERENCE l PW NSAT 2023,2023-09-19,611494,27285,00:26:08
cEGiB473mdA,"Teacher's Day CELEBRATION 🎆 | FASTRACK Batches Launched @Rs 3000 !! Class 9,10,11,12 & Droppers 🙏",2023-09-05,1622402,44710,00:56:51
-PVLHNUu0vg,Happy INDEPENDENCE Day 🇮🇳 | #SapneDekhneKiAzaadi | Biggest Offers on All PW Batches.,2023-08-15,777817,35216,00:23:29
Otk2Jbfs7nA,Tribute to INDIAN ARMY | Official Song | Independence Day Special 🇮🇳,2023-08-14,510100,50732,00:05:20
Id8VZpLDC_k,BIG SURPRISE for All PW Online Batches Students !! 🔥,2023-07-18,1277273,77391,00:15:12
65jjQJRPe80,JEE Advanced 2023 RESULT CELEBRATION 🔥 3500+ IITians from Physics Wallah !!,2023-06-19,1535417,44073,02:04:05
dKuAt-w2QU0,FATHER'S DAY Special: पापा ने Newspaper बेचकर अपनी बेटी को पढ़ाया !! 🥺 NEET 2023 Success Story.,2023-06-18,948039,30856,00:27:47
IAcku1OOKtI,JEE Advanced 2023 🔥 Results Celebrations Tomorrow !!,2023-06-18,1895537,121544,00:00:59
a0B1IPaBNHE,HE SLEEP ONLY 3 HOURS from Last 12 Years 🙏 दिनभर मज़दूरी और रात मे पढ़ाई | NEET KASHMIR Story,2023-06-17,11520977,547215,00:44:47
p4UTDWkx95A,The PWians 🥺,2023-06-17,2501954,218530,00:00:31
tA16tNlFWCw,गांव के ANOKHE Topper की ANOKHI कहानी 🥺 | AIR 134 NEET 2023 🔥#neet2023results,2023-06-16,1184612,32903,01:16:38
cueIWWDWj_c,Thank you KOTA ♥️,2023-06-16,10967913,706252,00:00:17
rmlB3mpe46Q,"NEET 2023 Results Celebrations 🎉 || 20,000+ Doctors from Physics Wallah !!",2023-06-14,1961296,52067,02:58:26
tvfxAJ6di8Y,"AIR 24 - NEET 2023 Results || Selections from ""PW PURE ONLINE BATCHES"" 🙏",2023-06-13,960422,27613,00:45:56
yKre-x6CQK0,NEET 2023 Results 🚀 || 7 Students SCORED 700+ Marks !! 🔥 Physics Wallah,2023-06-13,1030184,32652,00:58:48
CI7v8xBGGI0,NEET 2023 Results 🚀 || 7 Students SCORED 700+ 🔥,2023-06-13,8644661,552822,00:00:48
RfQJ5yNeFY0,Class 11th Barbaad !! Fir Bhi Bana NEET 2023 TOPPER 🫡  AIR 59 - Vaibhav || Scored 710 Marks ⚡,2023-06-13,9358623,319036,00:38:24
LVdSosKFbJk,Bachhon Ke Liye KYA HAI?? Biggest OFFERS on All PW Batches & on Everything 🙏,2023-05-28,4823332,8298,00:02:10
izRuAQenQOM,3 Years of PW Revolution !! Biggest Offers in Every PW Batch. Check PW App Now 🔥,2023-05-27,770295,33871,00:49:28
RNk-S2gF7pg,Dream TEAM of JEE 2024 Dropper: Launching PRAYAS 2.O @Rs 4400 🔥,2023-05-22,598234,19345,01:39:50
Uo1dsKkR-xU,GOOSEBUMPS: Legendary Trio of Chemistry !! 😱 JEE 2024 Dropper | Prayas 2.O | Check Description,2023-05-22,382987,12731,00:00:40
DZ6AmM8Zh1Y,BOSS of MATHEMATICS Revealed 🔥 Check Description | JEE 2024 Dropper | PRAYAS 2.O,2023-05-21,570834,18088,00:00:49
N-tSh57lrXw,NEET Dropper 2024 हिंदी माध्यम के लिए Most Powerful Batch - YAKEEN Hindi @Rs2700,2023-05-20,433676,13565,01:19:10
4p9jq8mMRZ8,Dream PHYSICS Faculty 😱 | JEE Dropper 2024 | Prayas 2.O | Physics Wallah,2023-05-20,458475,16555,00:00:38
WCpNexQs-R4,PRATIGYA DIWAS - The Biggest Festival for All UPSC Aspirants 🔥💪,2023-05-19,123977,4684,01:11:01
7kaSuiRdsYM,YAKEEN 2.O Team ALPHA || CHEMISTRY 1st Class FREE || NEET 2024 Dropper Batch @Rs4400,2023-05-18,390066,12431,01:24:04
rHPUcZXKJhQ,YAKEEN 2.O Team ALPHA || PHYSICS 1st Class FREE || NEET 2024 Dropper Batch @Rs4400,2023-05-18,226995,6566,01:16:26
2vWZmZS1cDA,YAKEEN 2.O Team ALPHA || ZOOLOGY 1st Class FREE || NEET 2024 Dropper Batch @Rs4400,2023-05-18,309356,7647,01:30:21
U8Pa6mSsSDM,YAKEEN 2.O Chemistry - 1st Class FREE 🔥 || MOLE CONCEPT 01 || NEET 2024 Dropper,2023-05-18,968235,34096,01:35:45
eLRC8Gvs1N8,YAKEEN 2.O Physics - 1st Class FREE 🔥 || BASIC MATHEMATICS 01 || NEET 2024 Dropper,2023-05-18,1890660,63992,01:28:40
PHDuEV4yq5c,YAKEEN 2.O Zoology - 1st Class FREE 🔥 || Structural Organisation in Animals 01 || NEET 2024 Dropper,2023-05-18,1177754,40018,01:26:10
rheB713X43U,YAKEEN 2.O - Biggest Announcement by Alakh Sir || First Class FREE on YouTube 🔥,2023-05-17,303363,16227,00:01:04
QV-YikrP9gc,Class 11th JEE/NEET (NEW LIVE Batches) - Arjuna 2.O 🔥 Physics Wallah !!,2023-05-16,448689,12768,01:24:27
jAhm8nGbp7s,Most Awaited - YAKEEN 2.0 NEET 2024 DROPPER BATCH is here 🔥 Orientation Session 💪🏻,2023-05-15,552250,23506,01:10:09
oZm1SUkiD34,Khud Pe YAKEEN - Official Song | NEET 2024 Dropper | Physics Wallah | Alakh Sir | Prateek Sahaii,2023-05-13,3873677,56520,00:01:49
H6T4Ab5EtYo,Honest TALK with NEET 2024 Aspirants !!🔥 by MR Sir & Pankaj Sir || YAKEEN 2.O @Rs 4400,2023-05-12,752245,28111,00:29:05
QRGGpWwCQzk,The Most Powerful & HISTORICAL Batch for NEET 2024 Dropper !!🩺 YAKEEN 2.O Mega LAUNCH 🔥 @Rs 4400/-,2023-05-10,1684443,62273,02:09:24
GoPxdsf6CKk,INORGANIC Chemistry - Faculty REVEALED ☠️ The YAKEEN 2.O - Historical Batch for NEET 2024 Dropper 🙏,2023-05-10,285237,9773,00:00:37
TKnjhSmr520,NEET 2023 me selection kyu nahi hua??,2023-05-10,2972707,185234,00:00:56
lXYKvBUrgBc,Botany Faculty REVEALED !!😱 Dekho Dekho Kaun Aaya?? The YAKEEN 2.O NEET 2024 Dropper 🚀,2023-05-10,304455,10841,00:00:45
EsKaVHOd-Ws,Physical Chemistry Faculty REVEALED !! 😱 India's MOST Powerful NEET Dropper Batch - The YAKEEN 2.O 🚀,2023-05-10,321920,12844,00:00:46
VTtp1hn46eE,Aa Gaye ZOOLOGY Ke Stars 🤯 | NEET 2024 Dropper Batch | YAKEEN 2.O 🙏,2023-05-09,545399,19332,00:00:41
AEVMBi8dwzM,Faculty REVEALED - Organic Chemistry 💪 || Yakeen 2.O NEET 2024 Dropper Batch !!,2023-05-09,447558,15812,00:00:40
W7Phbxq9P6I,Hame PHYSICS Kon Padhayega?? 💀 YAKEEN 2.O - The Most Powerful NEET 2024 DROPPER Batch 💪,2023-05-09,488594,18519,00:00:45
5O1ScOpGaXY,NEET FAIL ?? - LOSER ? Alakh Sir Message,2023-05-08,743889,51551,00:09:14
m_ictO3SFio,YAKEEN 2.O | Date Announcement | Physics Wallah | NEET 2024 Dropper Batch,2023-05-08,349653,11936,00:00:18
